RMS Perpendicular Distance, count C4-O1, count C6
0.125, 4.64, 0.72
0.300227371441309, 4.48, 0.72
0.5124307642515153, 4.48, 0.72
0.875, 4.44, 0.76
1.044449748134548, 4.52, 0.76
1.3656027600048137, 4.52, 0.72
1.625, 4.48, 0.6
1.875, 4.6, 0.6
2.1891092665038827, 4.44, 0.6
2.314264651800425, 4.32, 0.56
2.625, 4.24, 0.4
2.909462501505569, 4.2, 0.4
3.125, 4.04, 0.36
3.274952593024983, 4.08, 0.4
3.625, 4.12, 0.4
3.875, 4.04, 0.4
4.125, 3.96, 0.4
4.395232459833493, 3.68, 0.4
4.609247623186977, 3.68, 0.36
4.875, 3.64, 0.28
5.125, 3.76, 0.32
5.375, 4.0, 0.36
5.6205236937225544, 4.12, 0.36
5.875, 4.16, 0.36
6.125, 4.0, 0.4
6.375, 4.08, 0.4
6.669596536130872, 4.0, 0.44
6.937954179830414, 4.04, 0.44
7.125, 3.96, 0.36
7.375, 3.96, 0.36
7.625, 3.96, 0.36
7.875, 4.08, 0.36
8.125, 4.12, 0.36
8.375, 4.12, 0.36
8.625, 4.2, 0.44
8.875, 4.32, 0.52
9.081771669126686, 4.24, 0.6
9.409900324684816, 4.2, 0.56
9.537024262330263, 4.2, 0.56
9.875, 4.16, 0.56
10.125, 4.04, 0.56
10.375, 4.16, 0.68
10.625, 4.36, 0.68
10.875, 4.52, 0.72
11.161076081639337, 4.72, 0.8
11.348536817925707, 4.64, 0.76
11.625, 4.6, 0.72
11.798191025101742, 4.6, 0.72
12.12383788860091, 4.48, 0.84
12.375, 4.84, 0.8
12.530853085616512, 4.76, 0.8
12.785276578929093, 4.72, 0.76
